Name,Path,Size,Extension,Risk Level,Score,Reasons
crack_tool.exe,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\crack_tool.exe,13,.exe,High,11,"Extension dangereuse: .exe; Motif malveillant détecté: crack; Modifié récemment (0.0h); YARA: Suspicious_Keywords - Malicious keywords detection; AI Binary: Unknown binary with risk 0.80; AI Analysis: {'anomaly_detected': np.False_, 'anomaly_confidence': np.float64(0.19995941720182026), 'code_analysis': None, 'binary_analysis': {'file_type': 'Unknown binary', 'entropy': np.float64(3.0269868333592873), 'suspicious_strings': [], 'risk_score': 0.8, 'risk_level': 'High', 'is_executable': False}}"
data.csv,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\data.csv,20,.csv,Low,1,"Modifié récemment (0.0h); AI Analysis: {'anomaly_detected': np.False_, 'anomaly_confidence': np.float64(0.19995941720182026), 'code_analysis': None, 'binary_analysis': None}"
document.txt,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\document.txt,28,.txt,Low,1,"Modifié récemment (0.0h); AI Analysis: {'anomaly_detected': np.False_, 'anomaly_confidence': np.float64(0.19995941720182026), 'code_analysis': None, 'binary_analysis': None}"
eicar.txt,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\eicar.txt,68,.txt,High,6,"Modifié récemment (0.0h); YARA: EICAR_Test_File - Standard antivirus test file; YARA: Suspicious_Keywords - Malicious keywords detection; AI Analysis: {'anomaly_detected': np.False_, 'anomaly_confidence': np.float64(0.2035288613024821), 'code_analysis': None, 'binary_analysis': None}"
image.jpg,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\image.jpg,18,.jpg,Low,1,"Modifié récemment (0.0h); AI Analysis: {'anomaly_detected': np.False_, 'anomaly_confidence': np.float64(0.19995941720182026), 'code_analysis': None, 'binary_analysis': None}"
keylogger.js,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\keylogger.js,44,.js,High,7,"Extension dangereuse: .js; Motif malveillant détecté: keylog; Modifié récemment (0.0h); AI Analysis: {'anomaly_detected': np.False_, 'anomaly_confidence': np.float64(0.19995941720182026), 'code_analysis': {'detected_intents': [], 'intent_details': {}, 'risk_score': 0.0, 'risk_level': 'Low', 'is_suspicious': False}, 'binary_analysis': None}"
program.exe,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\program.exe,15,.exe,High,5,"Extension dangereuse: .exe; Modifié récemment (0.0h); AI Binary: Unknown binary with risk 0.80; AI Analysis: {'anomaly_detected': np.False_, 'anomaly_confidence': np.float64(0.19345271276715442), 'code_analysis': None, 'binary_analysis': {'file_type': 'Unknown binary', 'entropy': np.float64(3.2402239289418517), 'suspicious_strings': [], 'risk_score': 0.8, 'risk_level': 'High', 'is_executable': False}}"
suspicious.py,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\suspicious.py,32,.py,High,6,"Extension suspecte: .py; Modifié récemment (0.0h); YARA: Suspicious_Code - Suspicious code execution patterns; AI Code Intent: file_deletion; AI Code Intent: system_commands; Ligne 1: system(; AI Analysis: {'anomaly_detected': np.False_, 'anomaly_confidence': np.float64(0.15475113087847397), 'code_analysis': {'detected_intents': ['file_deletion', 'system_commands'], 'intent_details': {'file_deletion': {'matches': [{'keyword': 'rm -rf', 'count': 1, 'severity': 0.3}], 'total_count': 1, 'max_severity': 0.3}, 'system_commands': {'matches': [{'keyword': 'os.system', 'count': 1, 'severity': 1.0}], 'total_count': 1, 'max_severity': 1.0}}, 'risk_score': 0.124, 'risk_level': 'Low', 'is_suspicious': True}, 'binary_analysis': None}"
virus.bat,C:\Users\INFO\AppData\Local\Temp\tmp5zm4bu5t\test_files\virus.bat,20,.bat,High,7,"Extension dangereuse: .bat; Motif malveillant détecté: virus; Modifié récemment (0.0h); AI Analysis: {'anomaly_detected': np.False_, 'anomaly_confidence': np.float64(0.19995941720182026), 'code_analysis': {'detected_intents': [], 'intent_details': {}, 'risk_score': 0.0, 'risk_level': 'Low', 'is_suspicious': False}, 'binary_analysis': None}"
